Item Name,Total Price,Current Market Price,Margin,Resource Type 1,Unit Price 1,Quantity 1,Resource Cost 1,Resource Type 2,Unit Price 2,Quantity 2,Resource Cost 2,Resource Type 3,Unit Price 3,Quantity 3,Resource Cost 3,Resource Type 4,Unit Price 4,Quantity 4,Resource Cost 4
Bandeau Kaliptus,48355.68,111111.00,129.78%,Feuille de Kaliptus,14.24,500,7120.00,Fleur de Kaliptus,9.93,500,4965.00,Feuille de Bambouto Sacré,248.48,100,24848.00,Feuille de Bambouto,8.79,100,879.00,Antennes du Scarabosse Doré,18.98,15,284.70,Etoffe de Fantôme Maho Firefoux,586.66,3,1759.98,Etoffe de Fantôme Soryo Firefoux,3999.60,2,7999.20,Pétale Magique du Tournesol Affamé,249.90,2,499.80
Blopronne Royale,389499.14,550000.00,41.21%,Plume de fesse du Kido,29.93,50,1496.50,Bave du Kaskargo,131.97,32,4223.04,Perruque du Kimbo,127.97,10,1279.70,Sourcil du Rasboul majeur,249.99,10,2499.90,Amublop Multicolore Royale,300000.00,1,300000.00,Blopanneau Multicolore Royal,80000.00,1,80000.00
Cape Cérémoniale du Seigneur des Rats,68018.02,61111.00,-10.15%,Etoffe de Kanigrou,9.88,21,207.48,Etoffe du Rat Blanc,150.00,10,1500.00,Etoffe du Rat Noir,150.00,10,1500.00,Peau de Sphincter Cell,599.99,4,2399.96,Epaulette du Dark Vlad,749.99,2,1499.98,Coton Ancestral,55.80,2,111.60,Cape du Rat Noir,14000.00,1,14000.00,Cape du Rat Blanc,46799.00,1,46799.00
Cape Dragoeuf,10310.58,24950.00,141.98%,Ecaille de Dragoss de Saphire,31.90,20,638.00,Ecaille de Dragoss Doré,92.88,20,1857.60,Peau de Dragoeuf Volant,69.94,20,1398.80,Ecaille de Dragoss Blanc,94.44,20,1888.80,Peau de Dragueuse,13.98,20,279.60,Ecaille de Dragoss Noir,187.40,20,3748.00,Peau de Crocabulia,19.90,2,39.80,Lanière en cuir du Dragoeuf Guerrier,229.99,2,459.98
Cape Erforée,353838.81,360000.00,1.74%,Plume de fesse du Kido,29.93,100,2993.00,Tresse du Poolay,17448.90,11,191937.90,Perruque du Kimbo,127.97,3,383.91,Peau de Bworker,600.00,2,1200.00,Cape du Chef Bwork,15995.00,1,15995.00,Peau de Moon,1450.00,1,1450.00,Etoffe Magique de Moon,29885.00,1,29885.00,Plume Vibrante du Tofu Royal,109994.00,1,109994.00
Cape Ilyza'aile,2263617.85,2499999.00,10.44%,Dent de Serpentin,375.00,63,23625.00,Etoffe des Héros,6999.70,30,209991.00,Peau de Rat Blanc,1999.80,25,49995.00,Cheveu d'Ilyzaelle,989.99,15,14849.85,Résidu de sort temporel,177.00,10,1770.00,Plume nacrée d'Ilyzaelle,65000.00,10,650000.00,Peau de Skeunk,629697.00,2,1259394.00,Cape du Dragon Cochon,53993.00,1,53993.00
Cape Itaineflam,503494.40,350000.00,-30.49%,Poil de Péki,1450.00,25,36250.00,Plume de Tofu Royal,6899.80,10,68998.00,Tresse du Koulosse,2.00,5,10.00,Etoffe de Fantôme Soryo Firefoux,3999.60,5,19998.00,Etoffe de Fantôme Pandore,37909.90,4,151639.60,Etoffe du Wa Wabbit,109999.70,2,219999.40,Peau de Moon,1450.00,2,2900.00,Queue Magique du Péki,3699.40,1,3699.40
Cape Souveraine du Roissingue,232067.37,210000.00,-9.51%,Etoffe de Ouassingue,38.97,160,6235.20,Duvet du Kilibriss,14.46,42,607.32,Etoffe du Roissingue,1247.30,11,13720.30,Faux menton du Bourbassingue,6104.80,6,36628.80,Tourbe séchée de Tourbassingue,3999.80,5,19999.00,Culotte à l'envers du Roissingue,51366.60,3,154099.80,Peau lacérée du Tynril,648.98,1,648.98,Perruque du Kimbo,127.97,1,127.97
Cape Usée du Chêne Mou,107495.85,92000.00,-14.42%,Ambre,9.00,200,1800.00,Ambre d'Abraknyde Sombre,4499.99,5,22499.95,Ecorce du Chêne Mou,289.99,5,1449.95,Racine du Chêne Mou,1499.99,4,5999.96,Abracapa,850.00,1,850.00,Bourgeon du Chêne Mou,0.99,1,0.99,Abracape,17895.00,1,17895.00,Abracapa Ancestrale,57000.00,1,57000.00
Cape du Meulou,169286.32,165999.00,-1.94%,Poils de Koalak Forestier,1199.99,80,95999.20,Scalp de Meulou,2555.50,5,12777.50,Etoffe de Fantôme Pandikaze,1586.66,2,3173.32,Etoffe de Fantôme Tanukouï San,19500.00,2,39000.00,Etoffe du Meulou,10147.70,1,10147.70,Mojo du Meulou,689.60,1,689.60,Cape du Mulou Fou,4999.00,1,4999.00,Cape du Mulou,2500.00,1,2500.00
Cape du Minotot,160215.50,199999.00,24.83%,Poil de Gamino,27.97,100,2797.00,Poil de Déminoboule,16.96,15,254.40,Laine du Minotoror,1299.70,15,19495.50,Poil de Mominotor,4.87,15,73.05,Poil du Wa Wabbit,6849.70,10,68497.00,Laine du Minotot,998.76,1,998.76,Cape du Minotoror,67801.00,1,67801.00,Poil de Maître Pandore,298.79,1,298.79
Cape du Petit Chapon Rouge,185821.72,150000.00,-19.28%,Amygdales du Bitouf Sombre,13.77,81,1115.37,Calice de Fécorce,79.99,58,4639.42,Etoffe de Meupette,2000.00,18,36000.00,Barbe inexistante du Barbroussa,579.97,9,5219.73,Crinière fleurie,2999.70,6,17998.20,Etoffe Corailleuse,3950.00,1,3950.00,Queue emplumée du Rasboul Majeur,95900.00,1,95900.00,Cape Sanguine,20999.00,1,20999.00
Capignon,314318.28,295000.00,-6.15%,Etoffe de Ouassingue,38.97,60,2338.20,Etoffe Zoth,43.98,26,1143.48,Poil de Péki,1450.00,21,30450.00,Lamelle de Champbis,7198.90,12,86386.80,Etoffe de Meupette,2000.00,9,18000.00,Fémur du Minotot,5000.00,2,10000.00,Epine d'Ougah,69999.90,2,139999.80,Cape Houte,26000.00,1,26000.00
Caprin,235475.50,233333.00,-0.91%,Duvet du Kilibriss,14.46,80,1156.80,Aile du Bitouf des plaines,26.48,52,1376.96,Etoffe Zoth,43.98,40,1759.20,Etamine de Floribonde,6.25,31,193.75,Oeil de Champmane,2000.00,12,24000.00,Langue du Champodonte,6198.90,10,61989.00,Epine d'Ougah,69999.90,2,139999.80,Peau du Rasboul Majeur,4999.99,1,4999.99
Capuche Souveraine du Roissingue,346496.50,344444.00,-0.59%,Etoffe de Ouassingue,38.97,210,8183.70,Lingot d'Or,288.00,25,7200.00,Cuir de Mominotor,2.40,15,36.00,Faux menton du Bourbassingue,6104.80,11,67152.80,Etoffe du Roissingue,1247.30,11,13720.30,Tourbe séchée de Tourbassingue,3999.80,11,43997.80,Culotte à l'envers du Roissingue,51366.60,4,205466.40,Pierre précieuse du Kimbo,739.50,1,739.50
Caracape Minotoris,24349.18,29887.00,22.74%,Poil de Sanglier des Plaines,209.97,10,2099.70,Plume du Kwak de Terre,429.98,10,4299.80,Plume du Kwak de Vent,448.87,10,4488.70,Poils de Grand Pa Wabbit,6.00,10,60.00,Queue de Minotoror,2337.90,4,9351.60,Poils du Minotoror,14.92,4,59.68,Laine du Minotoror,1299.70,1,1299.70,Cuir de Minotoror,2690.00,1,2690.00
Casque Dragoeuf,126930.01,100000.00,-21.22%,Ecaille de Dragoss Blanc,94.44,10,944.40,Dragocoiffe Blanche,25000.00,1,25000.00,Peau de Crocabulia,19.90,1,19.90,Dent de Crocabulia,97.74,1,97.74,Corne de Dragoeuf Guerrier,840.00,1,840.00,Corne de Dragoeuf Volant,28.97,1,28.97,Dragocoiffe noire,59999.00,1,59999.00,Dragocoiffe Dorée,40000.00,1,40000.00
Casque Harnage,822914.51,788887.00,-4.13%,Etoffe Zoth,43.98,50,2199.00,Bave du Kaskargo,131.97,23,3035.31,Os de Fantôme Pandikaze,17777.60,22,391107.20,Cloaque du Poolay,44.00,17,748.00,Etoffe de Fantôme Soryo Firefoux,3999.60,15,59994.00,Coco du Bitouf sombre,5286.00,12,63432.00,Peau de Bworker,600.00,4,2400.00,Casque du Bwork de Bronze,299999.00,1,299999.00
Casque du Bitouf Aérien,365166.51,500000.00,36.92%,Amygdales du Bitouf Sombre,13.77,51,702.27,Aile du Bitouf des plaines,26.48,51,1350.48,Croupion du Bitouf aérien,1.19,51,60.69,Coco du Bitouf sombre,5286.00,13,68718.00,Coco du Bitouf des plaines,299.99,13,3899.87,Coco du Bitouf aérien,14999.90,13,194998.70,Pierre précieuse du Kimbo,739.50,1,739.50,Ambre du Tynril,94697.00,1,94697.00
Casque du Bwork de Bronze,166111.84,299999.00,80.60%,Corne de Chef de Guerre Bouftou,38.00,100,3800.00,Corne du Boufcoul,3.99,10,39.90,Rutile,20898.80,7,146291.60,Tibia de Koalak Fossoyeur,29.74,3,89.22,Cubitus de Momie Koalak,18.88,3,56.64,Casque cassé de Bwork,249.98,1,249.98,Casque du Chef Bwork,14896.00,1,14896.00,Os de Fantôme Pandore,688.50,1,688.50
Casque du Guerrier Zoth,175655.40,178400.00,1.56%,Etoffe Zoth,43.98,102,4485.96,Rembourrage de Meupette,319.96,36,11518.56,Tibia du Guerrier Zoth,588.87,14,8244.18,Jus de Ouassingue,3700.00,6,22200.00,Kristalite,5939.90,5,29699.50,Ecorce de Nerbe,1298.50,4,5194.00,Faux menton du Bourbassingue,6104.80,4,24419.20,Ecorce du Tynril,69894.00,1,69894.00
Chapblopignon,238165.41,274409.00,15.22%,Cloaque du Poolay,44.00,43,1892.00,Croupion du Bitouf aérien,1.19,41,48.79,Etoffe Zoth,43.98,32,1407.36,Fleur de Blopignon,6.45,20,129.00,Perruque du Kimbo,127.97,10,1279.70,Tresse du Poolay,17448.90,10,174489.00,Etoffe de Fantôme Pandule,6486.66,6,38919.96,Os de Fantôme Maho Firefoux,4999.90,4,19999.60
Chapeau de Crocodaille Dandi,216799.05,599999.00,176.75%,Dent de Crocodaille,3.49,120,418.80,Plume de fesse du Kido,29.93,43,1286.99,Rembourrage de Meupette,319.96,29,9278.84,Ecaille de Chef Crocodaille,148.98,18,2681.64,Tresse du Poolay,17448.90,6,104693.40,Touffe rousse du Flib,299.98,6,1799.88,Queue emplumée du Rasboul Majeur,95900.00,1,95900.00,Pierre précieuse du Kimbo,739.50,1,739.50
Chapeau de la Gamine Zoth,199066.68,143999.00,-27.66%,Etoffe Zoth,43.98,75,3298.50,Etoffe de Ouassingue,38.97,23,896.31,Mouchoir de la Gamine Zoth,9398.50,13,122180.50,Coco du Bitouf des plaines,299.99,6,1799.94,Kristalite,5939.90,5,29699.50,Ecorce de Fécorce,11995.00,3,35985.00,Bec du Kido,68.98,3,206.94,Peau du Rasboul Majeur,4999.99,1,4999.99
Chapignon,1045164.75,955555.00,-8.57%,Ecorce de Champaknyde,4098.20,24,98356.80,Trompe de la Tromperelle,1299.99,20,25999.80,Etoffe de Fantôme Yokai Firefoux,975.00,18,17550.00,Langue du Champodonte,6198.90,18,111580.20,Os de Fantôme Pandule,1999.99,15,29999.85,Lamelle de Champbis,7198.90,15,107983.50,Crinière fleurie,2999.70,8,23997.60,Peau de Skeunk,629697.00,1,629697.00
Coiffe Cérémoniale du Seigneur des Rats,295719.82,N/A,N/A,Poil de Kanigrou,79.90,200,15980.00,Patte de Prespic,89.99,50,4499.50,Poil de Chaman d'Egoutant,7.39,6,44.34,Peau de Sphincter Cell,599.99,2,1199.98,Etoffe de Sphincter Cell,199996.00,1,199996.00,Coiffe du Rat Blanc,50000.00,1,50000.00,Masque du Rat Noir,24000.00,1,24000.00
Coiffe de Bill de Grobe,3976024.46,3993333.00,0.44%,Cubitus de Momie Koalak,18.88,97,1831.36,Etoffe de Fantôme Pandore,37909.90,26,985657.40,Etoffe du Fauchalak,6299.40,24,151185.60,Crâne de Chef Crocodaille,4089.70,23,94063.10,Queue emplumée du Rasboul Majeur,95900.00,16,1534400.00,Peau de Bworker,600.00,15,9000.00,Etoffe Fantôme du Péki Garou,110000.00,6,660000.00,Sulik,539887.00,1,539887.00
Coiffe du Chêne Mou,160449.27,140000.00,-12.75%,Champignon Luidegît,800.00,10,8000.00,Racine du Chêne Mou,1499.99,10,14999.90,Ambre d'Abraknyde Sombre,4499.99,10,44999.90,Ecorce du Chêne Mou,289.99,10,2899.90,Ambre du Chêne Mou,1.79,2,3.58,Abracaska Ancestral,78995.00,1,78995.00,Abracaska,10550.00,1,10550.00,Bourgeon du Chêne Mou,0.99,1,0.99
Coiffe du Disciple Zoth,57330.50,190000.00,231.41%,Etoffe Zoth,43.98,89,3914.22,Bractée de Chiendent,69.80,26,1814.80,Graine de l'Abrakleur sombre,16.73,19,317.87,Rotule du Disciple Zoth,2899.98,14,40599.72,Ecorce de Nerbe,1298.50,3,3895.50,Talon d'achille de l'Abrakleur sombre,199.50,3,598.50,Kristalite,5939.90,1,5939.90,Sourcil du Rasboul majeur,249.99,1,249.99
Coiffe du Maître Zoth,243456.90,850000.00,249.14%,Etoffe Zoth,43.98,115,5057.70,Braguette du Maître Zoth,659.80,16,10556.80,Jus de Ouassingue,3700.00,6,22200.00,Kristalite,5939.90,5,29699.50,Tourbe séchée de Tourbassingue,3999.80,5,19999.00,Coco du Bitouf aérien,14999.90,4,59999.60,Etoffe du Roissingue,1247.30,1,1247.30,Ambre du Tynril,94697.00,1,94697.00
Coiffe du Meulou,30964.84,43997.00,42.09%,Poils du Meulou,65.98,10,659.80,Dents de Meulou,166.63,8,1333.04,Scalp de Meulou,2555.50,5,12777.50,Scalp de Bwork Archer,192.00,5,960.00,Oeil de Meulou,2549.90,1,2549.90,Coiffe du Mulou,2500.00,1,2500.00,Etoffe du Meulou,10147.70,1,10147.70,Poil de Bworkette,36.90,1,36.90
Coiffe du Minotot,586023.86,373000.00,-36.35%,Poil de Péki,1450.00,21,30450.00,Plume de Tofu Royal,6899.80,15,103497.00,Poil de Skeunk,750.00,5,3750.00,Etoffe de Fantôme Pandore,37909.90,3,113729.70,Etoffe du Wa Wabbit,109999.70,3,329999.10,Corne du Minotot,599.30,1,599.30,Minotokorno,3000.00,1,3000.00,Laine du Minotot,998.76,1,998.76
Coiffe du Tynril,224838.40,299999.00,33.43%,Jus de Ouassingue,3700.00,8,29600.00,Etoffe de Meupette,2000.00,7,14000.00,Crinière fleurie,2999.70,5,14998.50,Pistil du Tynril,499.96,2,999.92,Ambre du Tynril,94697.00,1,94697.00,Ecorce du Tynril,69894.00,1,69894.00,Peau lacérée du Tynril,648.98,1,648.98
Corbacape Mastralis,320425.90,319498.00,-0.29%,Plume de Corbac,2.97,80,237.60,Plume de Tofu Maléfique,49.00,80,3920.00,Poils de Black Tiwabbit,89.98,80,7198.40,Poils du Milimulou,11.99,50,599.50,Teinture Magique Sombre,1250.00,20,25000.00,Tissu Sombre,290.00,10,2900.00,Plume du Maître Corbac,27500.00,10,275000.00,Corbac Mort,696.30,8,5570.40
Couronne du Tofu Royal,132012.10,850000.00,543.88%,Plumes de Tofu,12.65,200,2530.00,Plume de Buveur,589.95,50,29497.50,Plume de Tofu Maléfique,49.00,10,490.00,Plume de Tofu Royal,6899.80,10,68998.00,Plume du Dernier Poolay,2799.60,1,2799.60,Plume du Maître Corbac,27500.00,1,27500.00,Couronne Brisée du Tofu Royal,197.00,1,197.00
Couvre-chef corné de Qu'Tan,996809.32,466666.00,-53.18%,Sacrum magistral,388.87,36,13999.32,Peau Malodorante de Démon,14.42,18,259.56,Scalp de Bwork Archer,192.00,16,3072.00,Peau de Yokai Firefoux,74.90,12,898.80,Ongle Désincarné de Qu'Tan,99.54,6,597.24,Défense Maléfique,998.88,5,4994.40,Etoffe de Sphincter Cell,199996.00,3,599988.00,Coiffe du Minotot,373000.00,1,373000.00
Dora Bora,223867.76,255555.00,14.15%,Feuille de Fourbasse,118.88,100,11888.00,Feuille de Kokoko,899.86,100,89986.00,Fleur de Gloutovore,129.91,100,12991.00,Peau de Trukikol,49.72,80,3977.60,Tranche de Nodkoko,241.24,80,19299.20,Trukikol Mort,2994.10,10,29941.00,Noix de Kokoko Traumatisée,9597.00,5,47985.00,Poils de Moon,1949.99,4,7799.96
Doro le Blak,94596.21,100000.00,5.71%,Cloaque du Poolay,44.00,19,836.00,Corail Kouraçao,6999.50,8,55996.00,Pétale Kouraçao,639.99,7,4479.93,Ecorce de Floribonde,1189.40,5,5947.00,Crinière fleurie,2999.70,4,11998.80,Mojo du Meulou,689.60,1,689.60,Corail Magistral,13999.90,1,13999.90,Peau lacérée du Tynril,648.98,1,648.98
Holoune,65000.34,175000.00,169.23%,Poils de Léopardo,33.90,50,1695.00,Poils de Kitsou Nae,1379.97,34,46918.98,Poils de Kitsou Nakwa,368.97,32,11807.04,Plume de Corbac,2.97,20,59.40,Etoffe du Sanglier,7.72,12,92.64,Etoffe du Wabbit,12.00,9,108.00,Poils du Mulou,39.96,8,319.68,Etoffe de Fantôme Soryo Firefoux,3999.60,1,3999.60
Kanistère,51776.93,48886.00,-5.58%,Poil d'Ouginak,19.91,15,298.65,Poils de Léopardo,33.90,15,508.50,Plume du Kwak de Flamme,1500.00,12,18000.00,Poils de Kitsou Nae,1379.97,10,13799.70,Poils de Kitsou Nakwa,368.97,8,2951.76,Etoffe de Kanigrou,9.88,3,29.64,Etoffe de Fantôme Léopardo,14999.80,1,14999.80,Etoffe de Pandule,1188.88,1,1188.88
Kaskargo,182917.59,190000.00,3.87%,Bave du Kaskargo,131.97,59,7786.23,Amygdales du Bitouf Sombre,13.77,22,302.94,Etoffe de Ouassingue,38.97,19,740.43,Plume de fesse du Kido,29.93,18,538.74,Foulard du Sparo,4.95,11,54.45,Coquille du Kaskargo,6977.20,9,62794.80,Jus de Ouassingue,3700.00,4,14800.00,Queue emplumée du Rasboul Majeur,95900.00,1,95900.00
Koloss,18131.18,N/A,N/A,Poils de Léopardo,33.90,16,542.40,Poils de Pandikaze,1.93,12,23.16,Poils du Mulou,39.96,11,439.56,Poils de Kitsou Nere,1209.93,6,7259.58,Poils de Kitsou Nufeu,838.90,5,4194.50,Poils de Yokai Firefoux,28.44,3,85.32,Etoffe de Soryo Firefoux,4000.00,1,4000.00,Etoffe de Fantôme Pandikaze,1586.66,1,1586.66
Krokop,52925.80,105000.00,98.39%,Plume du Kwak de Flamme,1500.00,15,22500.00,Poils de Léopardo,33.90,12,406.80,Poils de Kitsou Nufeu,838.90,12,10066.80,Poils du Mulou,39.96,8,319.68,Poils de Tanukouï San,1689.81,4,6759.24,Etoffe de Croc Gland,1199.99,4,4799.96,Etoffe de Fantôme Pandule,6486.66,1,6486.66,Etoffe de Fantôme Pandikaze,1586.66,1,1586.66
Krépite,128552.97,N/A,N/A,Poils de Léopardo,33.90,20,678.00,Tissu Invisible,17.79,20,355.80,Etoffe de Sanglier des Plaines,8.98,15,134.70,Linceul,11000.00,9,99000.00,Poils de Maho Firefoux,8.67,4,34.68,Plume de Tofu Royal,6899.80,1,6899.80,Etoffe de Fantôme Tanukouï San,19500.00,1,19500.00,Poils de Moon,1949.99,1,1949.99
Le Kim,652150.79,400000.00,-38.66%,Poil de Péki,1450.00,20,29000.00,Etoffe de Fantôme Pandule,6486.66,19,123246.54,Touffe rousse du Flib,299.98,15,4499.70,Perruque du Kimbo,127.97,15,1919.55,Tresse du Poolay,17448.90,10,174489.00,Plume du Maître Corbac,27500.00,8,220000.00,Solomonk,54999.00,1,54999.00,Coiffe du Meulou,43997.00,1,43997.00
Le Kumokan,1092573.91,1319999.00,20.82%,Peau de Drakoalak,4900.00,24,117600.00,Os de Fantôme Léopardo,100.00,24,2400.00,Oeil de Meulou,2549.90,10,25499.00,Epaulette du Dark Vlad,749.99,9,6749.91,Pierre précieuse du Kimbo,739.50,8,5916.00,Etoffe Fantôme du Péki Garou,110000.00,6,660000.00,Chapblopignon,274409.00,1,274409.00
Le Nahitse,154123.75,200000.00,29.77%,Amygdales du Bitouf Sombre,13.77,34,468.18,Tissu Pourpre,5.94,28,166.32,Etoffe de Kanigrou,9.88,22,217.36,Jus de Ouassingue,3700.00,8,29600.00,Crinière fleurie,2999.70,7,20997.90,Grelot,887.00,2,1774.00,Peau du Rasboul Majeur,4999.99,1,4999.99,Queue emplumée du Rasboul Majeur,95900.00,1,95900.00
Masque Vaudou Archer,97760.25,142999.00,46.28%,Souche de l'Abrakleur clair,189.97,31,5889.07,Etoffe de Ouassingue,38.97,29,1130.13,Etoffe du Roissingue,1247.30,2,2494.60,Chaussette du Kimbo,8499.50,1,8499.50,Sourcil du Rasboul majeur,249.99,1,249.99,Masque Kanniboule,50000.00,1,50000.00,Pistil du Tynril,499.96,1,499.96,Poupée Vaudou Archer,28997.00,1,28997.00
Masque Vaudou Jav,143757.25,158999.00,10.60%,Souche de l'Abrakleur clair,189.97,31,5889.07,Etoffe de Ouassingue,38.97,29,1130.13,Etoffe du Roissingue,1247.30,2,2494.60,Chaussette du Kimbo,8499.50,1,8499.50,Poupée Vaudou Jav,74994.00,1,74994.00,Pistil du Tynril,499.96,1,499.96,Sourcil du Rasboul majeur,249.99,1,249.99,Masque Kanniboule,50000.00,1,50000.00
Masque Vaudou Sarbak,70246.25,60000.00,-14.59%,Souche de l'Abrakleur clair,189.97,31,5889.07,Etoffe de Ouassingue,38.97,29,1130.13,Etoffe du Roissingue,1247.30,2,2494.60,Chaussette du Kimbo,8499.50,1,8499.50,Pistil du Tynril,499.96,1,499.96,Sourcil du Rasboul majeur,249.99,1,249.99,Masque Kanniboule,50000.00,1,50000.00,Poupée Vaudou Sarbak,1483.00,1,1483.00
Masque Vaudou Thierry,68763.25,144998.00,110.87%,Souche de l'Abrakleur clair,189.97,31,5889.07,Etoffe de Ouassingue,38.97,29,1130.13,Etoffe du Roissingue,1247.30,2,2494.60,Pistil du Tynril,499.96,1,499.96,Sourcil du Rasboul majeur,249.99,1,249.99,Chaussette du Kimbo,8499.50,1,8499.50,Masque Kanniboule,50000.00,1,50000.00
Masque de l'Abrakleur clair,501403.10,199990.00,-60.11%,Souche de l'Abrakleur clair,189.97,69,13107.93,Carpelle de Brouture,1.00,17,17.00,Calice de Fécorce,79.99,14,1119.86,Noeud de l'Abrakleur clair,32000.00,13,416000.00,Duvet du Kilibriss,14.46,12,173.52,Ecorce de Fécorce,11995.00,3,35985.00,Coco du Bitouf aérien,14999.90,2,29999.80,Peau du Rasboul Majeur,4999.99,1,4999.99
Masque du Sergent Zoth,305275.68,N/A,N/A,Etoffe Zoth,43.98,110,4837.80,Sépale de Nerbe,5.95,42,249.90,Souche de l'Abrakleur clair,189.97,36,6838.92,Ecusson du Sergent Zoth,11999.70,14,167995.80,Ecorce de Brouture,12998.70,5,64993.50,Ecorce de Fécorce,11995.00,4,47980.00,Kristalite,5939.90,2,11879.80,Pistil du Tynril,499.96,1,499.96
Ortiz,31164.00,49999.00,60.44%,Poils de Kitsou Nere,1209.93,12,14519.16,Poils de Kitsou Nufeu,838.90,10,8389.00,Etoffe du Prespic,64.94,6,389.64,Poils de Yokai Firefoux,28.44,3,85.32,Poils de Maho Firefoux,8.67,2,17.34,Etoffe de Fantôme Pandule,6486.66,1,6486.66,Poils de Pandore,88.00,1,88.00,Etoffe de Pandule,1188.88,1,1188.88
Ougalurette,524602.93,588888.00,12.25%,Ecorce de Chiendent,319.95,16,5119.20,Chanvre Euphorique,749.50,8,5996.00,Trompe de la Tromperelle,1299.99,7,9099.93,Ecorce de Champaknyde,4098.20,6,24589.20,Epine d'Ougah,69999.90,4,279999.60,Toady,299.00,1,299.00,Kaskargo,190000.00,1,190000.00,Fragment d'Ougalurette,9500.00,1,9500.00
Ruskauffe,35503.99,219999.00,519.65%,Rembourrage de Meupette,319.96,48,15358.08,Duvet du Kilibriss,14.46,28,404.88,Touffe rousse du Flib,299.98,12,3599.76,Barbe inexistante du Barbroussa,579.97,8,4639.76,Saphir,509.74,5,2548.70,Perruque du Kimbo,127.97,3,383.91,Etoffe du Roissingue,1247.30,1,1247.30,Etoffe de Gourlo le Terrible,7321.60,1,7321.60
Solomonk,43296.99,54999.00,27.03%,Poils de Kitsou Nufeu,838.90,10,8389.00,Poils de Tanukouï San,1689.81,8,13518.48,Poils de Grand Pa Wabbit,6.00,6,36.00,Poils de Pandore,88.00,2,176.00,Etoffe de Pandikaze,239.98,2,479.96,Poils de Maho Firefoux,8.67,1,8.67,Etoffe de Pandule,1188.88,1,1188.88,Etoffe de Fantôme Tanukouï San,19500.00,1,19500.00
