Bandeau Kaliptus, Feuille de Kaliptus,500, Fleur de Kaliptus,500, Feuille de Bambouto Sacré,100, Feuille de Bambouto,100, Antennes du Scarabosse Doré,15, Etoffe de Fantôme Maho Firefoux,3, Etoffe de Fantôme Soryo Firefoux,2, Pétale Magique du Tournesol Affamé,2
Blopronne Royale, Plume de fesse du Kido,50, Bave du Kaskargo,32, Perruque du Kimbo,10, Sourcil du Rasboul majeur,10, Amublop Multicolore Royale,1, Blopture Multicolore Royale,1, Bloptes Multicolores Royales,1, Blopanneau Multicolore Royal,1
Cape Cérémoniale du Seigneur des Rats, Etoffe de Kanigrou,21, Etoffe du Rat Blanc,10, Etoffe du Rat Noir,10, Peau de Sphincter Cell,4, Epaulette du Dark Vlad,2, Coton Ancestral,2, Cape du Rat Noir,1, Cape du Rat Blanc,1
Cape Dragoeuf, Ecaille de Dragoss de Saphire,20, Ecaille de Dragoss Doré,20, Peau de Dragoeuf Volant,20, Ecaille de Dragoss Blanc,20, Peau de Dragueuse,20, Ecaille de Dragoss Noir,20, Peau de Crocabulia,2, Lanière en cuir du Dragoeuf Guerrier,2
Cape Erforée, Plume de fesse du Kido,100, Tresse du Poolay,11, Perruque du Kimbo,3, Peau de Bworker,2, Cape du Chef Bwork,1, Peau de Moon,1, Etoffe Magique de Moon,1, Plume Vibrante du Tofu Royal,1
Cape Ilyza'aile, Dent de Serpentin,63, Etoffe des Héros,30, Peau de Rat Blanc,25, Cheveu d'Ilyzaelle,15, Résidu de sort temporel,10, Plume nacrée d'Ilyzaelle,10, Peau de Skeunk,2, Cape du Dragon Cochon,1
Cape Itaineflam, Poil de Péki,25, Plume de Tofu Royal,10, Tresse du Koulosse,5, Etoffe de Fantôme Soryo Firefoux,5, Etoffe de Fantôme Pandore,4, Etoffe du Wa Wabbit,2, Peau de Moon,2, Queue Magique du Péki,1
Cape Souveraine du Roissingue, Etoffe de Ouassingue,160, Duvet du Kilibriss,42, Etoffe du Roissingue,11, Faux menton du Bourbassingue,6, Tourbe séchée de Tourbassingue,5, Culotte à l'envers du Roissingue,3, Peau lacérée du Tynril,1, Perruque du Kimbo,1
Cape Usée du Chêne Mou, Ambre,200, Ambre d'Abraknyde Sombre,5, Ecorce du Chêne Mou,5, Racine du Chêne Mou,4, Abracapa,1, Bourgeon du Chêne Mou,1, Abracape,1, Abracapa Ancestrale,1
Cape du Meulou, Poils de Koalak Forestier,80, Scalp de Meulou,5, Etoffe de Fantôme Pandikaze,2, Etoffe de Fantôme Tanukouï San,2, Etoffe du Meulou,1, Mojo du Meulou,1, Cape du Mulou Fou,1, Cape du Mulou,1
Cape du Minotot, Poil de Gamino,100, Poil de Déminoboule,15, Laine du Minotoror,15, Poil de Mominotor,15, Poil du Wa Wabbit,10, Laine du Minotot,1, Cape du Minotoror,1, Poil de Maître Pandore,1
Cape du Petit Chapon Rouge, Amygdales du Bitouf Sombre,81, Calice de Fécorce,58, Etoffe de Meupette,18, Barbe inexistante du Barbroussa,9, Crinière fleurie,6, Etoffe Corailleuse,1, Queue emplumée du Rasboul Majeur,1, Cape Sanguine,1
