Ailes cassées
 0.0 0.0 0.0
Ailes de Moskito
 38.0 43.4 39.96
Aile du Tofu Maléfique
 10.0 2.5 2.98
Aile de Dragodinde
 190.0 16.0 27.75
Aile de Dragodinde Rousse Sauvage
 0.0 8.0 4.88
Ailes de Scarafeuille blanc
 97.0 129.9 136.51
Ailes de Scarafeuille bleu
 297.0 309.9 349.97
Ailes de Scarafeuille rouge
 150.0 129.9 173.9
Ailes de Scarafeuille vert
 137.0 84.9 99.99
Ailes du Scarafeuille Noir
 98.0 49.3 14.85
Ailes du Scarabosse Doré
 1099.0 1144.1 1134.93
Aile de Dragoeuf Volant
 30.0 39.8 39.98
Aile du Bitouf des plaines
 58.0 68.5 68.89
Carapace de Scaratos
 15.0 6.6 6.25
Carapace vide de Crabe
 410.0 449.8 0.0
Carapace Bleue Vide
 194.0 269.8 291.04
Carapace Jaune Vide
 40.0 78.0 78.94
Carapace Rouge Vide
 120.0 129.7 150.0
Carapace Verte Vide
 187.0 159.7 259.92
Carapace de Scarafeuille Blanc
 98.0 38.7 37.5
Carapace de Scarafeuille Bleu
 55.0 10.8 10.87
Carapace de Scarafeuille Rouge
 199.0 274.9 340.0
Carapace de Scarafeuille Vert
 94.0 20.0 14.88
Carapace de Scorbute
 23.0 11.7 13.99
Carapace de Scarafeuille Noir
 85.0 29.5 19.96
Carapace du Scarabosse Doré
 7725.0 7899.4 0.0
Coquille de Dragoss Blanc
 280.0 442.8 478.87
Coquille de Dragoss de Saphir
 28.0 49.8 109.99
Coquille de Dragoss Doré
 30.0 29.9 19.9
Coquille de Dragoss Noir
 19.0 41.0 79.99
Coquille de Dragoeuf Blanc
 93.0 20.0 19.93
Coquille de Dragoeuf Doré
 27.0 34.0 49.91
Coquille de Dragoeuf Noir
 108.0 109.0 114.32
Coquille de Dragoeuf Saphir
 24.0 19.9 29.46
Protection de la Dragueuse
 17.0 2.5 0.0
Coco du Bitouf des plaines
 222.0 299.3 349.99
Fragment de Coquille d'Aerohoucto
 1280.0 1439.5 0.0
Fragment de Coquille d'Aquabralak
 2235.0 1880.0 0.0
Fragment de Coquille d'Ignelicrobu
 1651.0 1800.0 0.0
Fragment de Coquille de Terrakoub
 1293.0 1499.9 0.0
Coco du Bitouf aérien
 10000.0 13198.7 0.0
Coquille du Kaskargo
 9994.0 13897.8 12900.0
Coco du Bitouf sombre
 4800.0 4899.9 0.0
Cuir du Boufcoul
 100.0 49.9 49.71
Cuir de Boufton Blanc
 100.0 38.9 23.98
Cuir de Boufton Noir
 79.0 5.1 6.69
Cuir de Bouftou
 19.0 14.1 12.99
Cuir de Sanglier
 32.0 33.2 27.99
Slip en Cuir Moulant du Vampire
 96.0 79.9 69.99
Cuir du Cochon de Lait
 84.0 69.9 86.94
Slip en cuir de Porkass
 5553.0 6799.9 6999.98
Cuir du Chef de Guerre Bouftou
 0.0 2.8 0.89
Slip en cuir de Cochon de Lait
 118.0 109.8 149.53
Slip de Bwork Archer
 0.0 3.9 4.0
Cuir Violet de Bwork
 0.0 14.4 7.5
Cuir de Bouftou Royal
 1395.0 1549.8 1900.0
Cuir de Porkass
 14.0 8.0 4.55
Selle en Cuir
 258.0 326.8 0.0
Cuir de Sanglier des Plaines
 492.0 129.1 123.55
Slip en cuir du Chafer Lancier
 130.0 279.7 279.99
Cuir du Dragon Cochon
 1800.0 1699.3 1998.88
Cuir Noir
 6484.0 6799.0 6800.0
Cuir de Déminoboule
 0.0 2.0 0.99
Cuir de Mominotor
 0.0 1.9 1.9
Cuir du Minotot
 35.0 47.7 0.0
Slip de Trool
 1949.0 0.0 0.0
Cuir de Minotoror
 2274.0 2488.6 2700.0
Etoffe du Fauchalak
 58883.0 6898.0 0.0
Tissu de Rapiécage
 15000.0 0.0 0.0
Toile peu ragoutante
 1496.0 0.0 0.0
Etoffe du Sanglier
 0.0 4.0 3.5
Tissu Sanguin
 150.0 170.0 156.99
Etoffe du Prespic
 40.0 20.0 29.99
Etoffe du Wabbit
 39.0 29.9 29.99
Etoffe de Croc Gland
 400.0 0.0 489.98
Etoffe d'Ours
 4597.0 4499.9 0.0
Tissu Invisible
 19.0 25.8 17.9
Tissu Pourpre
 0.0 8.8 9.95
Etoffe de Dok Alako
 76.0 84.9 80.91
Etoffe de Pandikaze
 200.0 248.8 254.0
Etoffe de Sanglier des Plaines
 21.0 19.9 18.43
Fibre de Chanvre
